rank,player_id,name,conservative_rating,rating,rd,sets_played
220,780256,NiP,1726.5,1852.1,62.8,660
221,2842804,Redsaw,1726.5,1869.7,71.6,521
222,1141497,matt,1724.8,1867.3,71.3,81
223,913225,Rider | G4G | tf j,1719.3,1844.0,62.4,114
224,267047,FSF | Zach,1718.9,1856.6,68.8,40
225,1156328,DU | Moony,1715.8,1844.6,64.4,49
226,1609925,MOB | Infernape,1715.7,1811.9,48.1,1558
227,1053442,Baren,1712.4,1817.5,52.6,157
228,1751649,Syn! | D.Danger,1712.2,1812.3,50.1,873
229,147436,Hindsight,1710.5,1823.0,56.2,189
230,997249,MBS | MEGA CHAD,1710.1,1876.5,83.2,57
231,989934,716 | KingCoreyFTW,1708.4,1818.0,54.8,124
232,67389,Liyrex,1707.7,1840.1,66.2,71
233,1157788,Glutamate,1707.1,1873.6,83.3,114
234,657781,Schmeat | WheeZy,1706.5,1879.9,86.7,44
235,47475,Jukain,1706.5,1825.8,59.7,97
236,1986069,GRNT | Jager,1706.3,1797.0,45.4,337
237,160326,TRAIN,1705.6,1896.1,95.3,22
238,5532174,MMG+ | FS | Slade,1704.9,2100.8,197.9,6
239,27457,PixelVault | NibbyNibbyNub,1704.3,1820.2,57.9,100
240,1003161,ZXZ | The Hunter,1704.0,1902.9,99.5,69
241,1750056,SuperSanic21,1703.9,1821.4,58.7,143
242,779312,Cafe,1702.3,1864.2,81.0,38
243,1312764,<>< | Deception,1701.7,1828.0,63.1,197
244,937157,CCS | Saber_Wolf,1699.3,1857.2,78.9,77
245,2093733,ZERO REGRETS | Twitter Gooner,1699.0,1855.4,78.2,50
246,605782,parkerx1,1697.7,1802.6,52.5,110
247,757280,Kitty Princess,1697.6,1797.4,49.9,140
248,1864686,Ampersand,1696.6,1845.9,74.6,65
249,889148,Wendys4for4,1695.9,2089.3,196.7,5
250,4992539,Val,1695.5,1815.9,60.2,72
251,2547733,Antonio,1694.9,1792.2,48.7,140
252,753258,Luminous!,1694.4,1849.4,77.5,47
253,1655542,DeLay,1693.3,1796.4,51.5,194
254,1633924,ENC | Gabo,1692.6,1818.3,62.9,519
255,428340,VYRUS | GRNT | Orango,1692.4,1826.1,66.9,49
256,2224902,TDC | Skeletal,1692.2,2086.4,197.1,5
257,2121485,Kvng,1691.5,1790.8,49.7,125
258,1662027,Seb Undeble,1691.1,1802.7,55.8,152
259,54394,FzP | Dukkha,1690.4,1832.3,71.0,92
260,2042041,Xen0,1689.7,1843.2,76.7,75
261,2285604,CandyKongLover1,1689.5,1810.7,60.6,87
262,358345,Bloom | ZG,1689.0,1788.8,49.9,121
263,1779817,AlphaBorb,1688.9,1808.9,60.0,72
