rank,player_id,name,conservative_rating,rating,rd,sets_played
229,2232029,SBU | Pineapples,1531.5,1664.5,66.5,60
230,2088174,GORDO | TFO256,1530.9,1665.5,67.3,224
231,261298,Booty / Karxm,1527.1,1697.8,85.4,94
232,272462,Zoo,1526.8,1677.7,75.5,65
233,3249566,EDLN | Octo,1526.3,1649.7,61.7,99
234,5544702,KDE | Chappsticc,1522.7,1945.4,211.4,5
235,2167729,SCB | NinJenDo,1522.3,1636.4,57.1,132
236,824294,ET | GODwithinAnthony,1521.6,1693.6,86.0,111
237,213342,PinkDocJ,1521.4,1994.6,236.6,9
238,1070879,Trenko,1520.3,1771.1,125.4,87
239,796048,ENC | Drilago,1518.0,1613.8,47.9,1175
240,550127,WFP | CRB,1516.2,1814.6,149.2,17
241,2035678,PeteMan23,1516.1,1621.6,52.8,397
242,1308403,Wise,1515.4,1792.0,138.3,10
243,1518438,SWR | Enriquethepigeon,1515.2,1675.2,80.0,187
244,1072988,ZekeReds,1514.0,1627.7,56.8,140
245,71401,UtopianRay,1513.8,1792.3,139.3,129
246,3416651,WPC | FS | Rhinestone Lady,1509.4,1631.3,60.9,103
247,499319,EDLN | Salt King,1509.0,1757.0,124.0,22
248,2402885,BlueFlare,1504.5,1648.5,72.0,94
249,1174400,Soul Society | LazyZach,1503.3,1933.0,214.9,6
250,29142,SENTRY | spoop,1500.5,1751.2,125.4,19
251,2136075,G-Money,1500.1,1610.6,55.3,142
252,341914,Triple A,1499.7,1681.2,90.8,49
253,2252991,Comoli,1499.5,1614.7,57.6,97
254,1580144,Madasti,1495.8,1778.0,141.1,72
255,45894,TTD | $N,1494.5,1599.5,52.5,175
256,1602986,SBU | BopIt!,1493.6,1600.8,53.6,250
257,1529812,FBI | MaouSilver,1493.1,1602.5,54.7,337
258,1531390,Fiestero,1492.9,1627.2,67.2,171
259,2700639,Desimus,1491.4,1641.7,75.2,78
260,1112255,GIANT | fart,1490.6,1616.5,63.0,102
261,2427279,GTN | ShoKhaizo,1487.5,1608.0,60.3,66
262,4557714,REV | LevelOne,1487.0,1614.0,63.5,138
263,2987715,GORDO | TFO256,1486.2,1881.2,197.5,7
264,2129156,Stelter,1484.6,1689.3,102.4,203
265,3260808,PPP | Pineapple,1483.2,1623.0,69.9,210
266,620017,MBS | xiii,1482.6,1632.6,75.0,72
267,1350424,MHM | 天 | VulgarKaiju,1482.4,1599.4,58.5,675
268,1625801,sorbi,1478.8,1613.6,67.4,92
269,1719545,3U | Pado,1478.1,1689.4,105.7,53
270,63962,ENC | Ice,1477.9,1754.2,138.1,108
271,230038,X,1474.6,1724.1,124.7,76
272,1713130,LXX,1469.2,1592.9,61.8,88
273,1183244,chancla,1463.7,1590.1,63.2,98
274,2178506,Swaggin | Disarming5,1460.9,1605.6,72.4,61
275,185040,Aero,1457.4,1806.8,174.7,10
276,70832,Oatmeal,1455.5,1719.2,131.9,46
277,231718,Dralro,1454.2,1604.2,75.0,45
278,174987,ඞ | Caststarman,1452.2,1602.4,75.1,75
279,2086800,RISE | Union X,1450.4,1594.1,71.9,78
280,380159,IMP | Zaxel,1449.5,1829.4,189.9,152
281,1810011,Yikes! ebs Kqt | FD,1448.4,1853.9,202.7,6
282,1731974,Ryan,1442.8,1645.1,101.1,83
283,1012831,Friegg / Ho Chi ZYN,1440.5,1774.8,167.1,10
284,321425,Purity,1440.2,1874.3,217.0,7
285,851857,ENC | SaladDressing,1439.7,1762.6,161.4,66
286,1007420,KyleTM,1439.3,1569.2,65.0,116
287,2455865,Agua,1439.2,1544.3,52.5,217
288,4949496,SBU | Whimsicott,1438.6,1552.0,56.7,82
289,1036122,KDE | Koopai_,1435.5,1557.1,60.8,125
290,2024480,EVC | BB8,1435.1,1635.7,100.3,53
291,250040,ENC|MOB | LocalmanMatty,1433.0,1579.5,73.2,567
292,1011767,MBS | Sora_J,1432.3,1887.4,227.5,4
293,1750296,Protean,1431.4,1537.3,53.0,434
294,2272295,LYM? | MM | Llama,1430.1,1549.4,59.6,96
295,5512295,Raptor,1427.4,1843.5,208.1,4
296,1971465,Dededenied,1423.2,1741.2,159.0,9
297,2461532,EGF | Roundens,1423.1,1542.5,59.7,95
298,4584629,Ornik,1422.7,1532.6,54.9,198
299,325777,MOB | COLD,1421.7,1691.2,134.8,204
