rank,player_id,name,conservative_rating,rating,rd,sets_played
433,142720,Kiranchi,1257.5,1838.6,290.5,3
434,1321838,Adam,1256.8,1657.0,200.1,27
435,812513,SBU | Luckky,1253.6,1395.4,70.9,87
436,3652196,Big Water,1252.4,1705.7,226.7,5
437,4496420,Stelter,1252.1,1677.0,212.4,4
438,427133,username,1247.0,1595.5,174.3,185
439,1036122,KDE | The Ghanaian Prince,1245.9,1442.4,98.2,52
440,1751700,Kimboiyachi,1243.8,1655.7,205.9,4
441,358960,USAE | inf.escape,1241.8,1479.6,118.9,92
442,2996650,JRaz16,1241.6,1412.5,85.5,71
443,1252101,Maxa,1240.9,1520.7,139.9,86
444,704448,Prant,1240.3,1521.7,140.7,77
445,920328,Cheech,1240.2,1448.7,104.2,264
446,5501427,Raptor,1240.1,1728.1,244.0,3
447,2714496,Kevo360,1236.5,1418.1,90.8,135
448,1409025,Kvh,1235.9,1582.5,173.3,44
449,1592950,DDC | WillMill,1235.9,1551.5,157.8,8
450,4148594,Stelter,1235.8,1694.6,229.4,4
451,2634157,POP | SparkSkill,1233.0,1439.9,103.5,122
452,171700,Dr. Bondie (B),1232.6,1372.7,70.0,94
453,4060299,GSG | Reed,1232.3,1804.5,286.1,3
454,69946,BACKTOTHELOOT,1230.3,1612.5,191.1,61
455,2750451,FSC | 1965 Ford Transit,1228.8,1415.8,93.5,71
456,1580796,Señor,1228.6,1425.9,98.6,98
457,3605541,Aero,1225.7,1675.0,224.7,4
458,1257079,天 | Pryce,1224.6,1355.7,65.6,263
459,2264877,Lockhart,1222.6,1361.3,69.3,103
460,24211,SaltyFun,1219.9,1477.2,128.7,43
461,509309,gm | trafe,1219.1,1714.9,247.9,4
462,1787007,GWU | NC2 | | chicken,1217.7,1450.2,116.2,21
463,3798818,Flo,1216.9,1358.9,71.0,140
464,213567,Asher,1215.9,1415.2,99.6,314
465,326148,DA | EMP | Venia,1215.5,1750.9,267.7,4
466,134891,GRNT | Jeans,1215.2,1727.7,256.2,5
467,3440801,CHP | Moat,1215.2,1684.3,234.6,4
468,981778,0-2 | Trapinch,1214.0,1443.8,114.9,61
469,4148596,Stelter,1212.3,1679.1,233.4,4
470,56946,HQ | Unknown,1210.9,1513.5,151.3,14
471,45472,Council | TheBombBimbi,1207.8,1780.5,286.3,1
472,3349086,AKUMARD,1207.6,1457.5,124.9,12
473,250002,ATMO | Mischief,1206.7,1451.7,122.5,252
474,3796224,DEW | Hailfire,1206.6,1638.5,216.0,4
