rank,player_id,name,conservative_rating,rating,rd,sets_played
461,1261375,TSM | Wylder,1099.4,1466.7,183.6,101
462,1787007,chicken,1096.9,1413.1,158.1,10
463,952373,ENC | Soto,1096.7,1392.2,147.8,26
464,2890513,Blair,1096.3,1380.7,142.2,55
465,126395,Old LTCT,1095.0,1573.6,239.3,3
466,1009070,Ego | TAMU-C | Maple,1093.4,1450.8,178.7,7
467,2714496,Kevo360,1093.1,1327.0,116.9,64
468,184077,UC | Mayyro,1092.5,1396.4,152.0,82
469,1488238,Waypoint,1091.1,1706.7,307.8,1
470,2609146,THE BOIS | Imapotato,1088.9,1266.4,88.8,80
471,1884925,RTW | QUORTH,1087.8,1288.7,100.5,86
472,1409025,nyKovah,1087.2,1532.6,222.7,9
473,959027,ZeXa,1086.4,1371.7,142.6,23
474,1595369,ShockDunes,1079.4,1379.0,149.8,11
475,1437134,Solfege,1077.9,1237.6,79.9,112
476,2997758,MeNsCh,1077.5,1353.5,138.0,27
477,937364,bran,1076.7,1605.4,264.3,3
478,812513,SBU | Luckky,1075.8,1275.6,99.9,49
479,2396760,SBU | Demon Mode,1074.8,1256.3,90.7,50
480,1393892,Quidd / Charles,1072.9,1743.0,335.1,1
481,684306,Newgate / Drewsephix,1072.3,1413.0,170.3,15
482,2008062,Pango,1071.0,1670.7,299.8,1
483,1588491,sap.(B),1070.6,1346.1,137.8,14
484,5341266,GuyGagné,1069.6,1322.8,126.6,12
485,576268,LVD | Suarez,1068.2,1665.5,298.6,1
486,2427279,GTN | ShoKhaizo,1067.2,1327.7,130.2,17
487,2820635,Jam,1064.9,1555.5,245.3,3
488,1364219,GRNT | summitsun,1062.8,1456.2,196.7,11
489,544841,Zio,1062.5,1677.0,307.3,1
490,777690,Mz. | fortyseven,1062.5,1677.0,307.3,1
491,4589211,Raptor,1062.4,1548.0,242.8,3
492,1576596,Agua,1061.5,1519.5,229.0,4
493,3722643,Jack-O',1059.9,1553.4,246.8,3
494,1334807,KOPA,1057.9,1412.6,177.4,74
495,981778,0-2 | Trapinch,1057.1,1428.7,185.8,7
496,467958,CTG | MMG+ | Cheara,1055.6,1259.1,101.7,37
497,3892820,Gyler,1053.0,1513.5,230.2,3
498,1723443,JBergs,1051.2,1345.3,147.1,69
499,1159658,Toogis,1050.8,1393.7,171.4,33
500,1459705,ryu,1048.4,1662.7,307.2,1
501,2750451,FSC | 1965 Ford Transit,1047.3,1272.6,112.6,44
502,3696138,Suslord,1046.5,1449.0,201.3,7
503,1285987,HF,1043.2,1675.2,316.0,1
504,3907225,UG,1042.5,1431.9,194.7,6
505,3053454,TM | Bardo,1040.6,1345.1,152.2,19
506,3955123,Ganondong,1039.7,1422.6,191.4,5
507,321425,TR Stretch / Purity,1039.2,1681.9,321.4,1
508,4369447,cmeonline,1038.3,1442.2,201.9,6
509,5531108,CHP | MomHunter9009,1036.7,1542.9,253.1,3
510,2106082,butter,1036.2,1613.9,288.9,2
511,2802053,Billio,1036.2,1613.9,288.9,2
512,4614432,haste,1035.2,1257.4,111.1,24
513,945989,AceAttorneyist,1033.9,1525.6,245.8,3
514,2093234,poo | Doi,1033.0,1369.3,168.2,71
515,397058,COTP | Shinigami313,1029.7,1301.5,135.9,21
516,1154098,LOA5000,1029.3,1298.3,134.5,71
517,413400,SonicBoxx | Edo_Blaze,1028.5,1645.8,308.6,1
518,1582252,ImYeah (A),1026.0,1239.1,106.6,75
519,2908736,MOB | Auresco,1026.0,1346.5,160.3,22
520,1669700,Goldsmith,1025.6,1330.1,152.2,144
521,849725,Arc | RyuuJin,1021.2,1639.8,309.3,1
522,4018244,aqua,1019.2,1397.2,189.0,6
523,62609,Fabiio,1018.8,1541.9,261.6,3
524,148121,George,1014.4,1363.4,174.5,9
525,3759410,Moonbeam,1011.8,1350.4,169.3,12
526,1806789,TAMUC | Master byron,1011.6,1385.9,187.1,7
527,1250027,SnappleOK,1010.6,1378.8,184.1,10
528,260300,MOB | cba,1009.7,1181.5,85.9,405
529,509309,gm | trafe,1008.9,1534.0,262.6,2
