rank,entrant_id,name,elo,sets_played
244,3289497,SIR YES SIR | SGT HAMILTON,1660.4,16
245,351855,PHNM | NoTag,1659.7,17
246,1590243,GS/HoM | Majestic Souls,1659.5,80
247,1580089,DENIM CLUB | petebr0,1659.0,86
248,343421,Vendetta,1658.8,9
249,2980064,MMG+ | BIG CRUMB,1658.6,177
250,614049,MouseRat,1657.4,80
251,1710348,Nimbus,1656.9,18
252,1641578,GRNT | Skew,1656.5,109
253,2285604,CandyKongLover1,1655.8,75
254,1761219,meow!,1655.6,15
255,864900,Newgate,1655.5,109
256,1409030,HW | ...Insignia,1655.5,99
257,1633924,ENC | Gabo,1655.3,525
258,4689970,Free KayFlock,1655.1,8
259,2018288,IBlewMyStack,1655.1,86
260,7648,Samsora,1654.7,21
261,1395261,Dolan,1654.3,11
262,2381488,Obey Your Master,1654.1,12
263,551860,PBJ | Noodl,1653.8,83
264,649442,TK1,1653.0,1066
265,1820508,UNCG | Eelektross Nightmare,1652.9,80
266,1150960,FG | BlazingBoy,1652.3,98
267,275689,WS | DavudTwentySeven (B),1652.0,118
268,1332765,E36 | Hurt,1651.6,10
269,186017,ETanked,1651.6,10
270,241634,Dew2 / MAMMOTH,1651.5,29
271,1805037,THR l GRNT | TWICE,1651.5,167
272,4100607,Raccoon | Cody,1651.0,16
273,3740045,SBU | TYBG | Keegan,1650.7,13
274,1052472,CF | Dominator,1650.4,9
275,318918,Council | Diamond,1649.9,91
276,274501,Bloom | KOM,1649.8,23
277,779312,Cafe,1649.7,93
278,2067277,AGENCY | shane,1649.7,14
279,3260808,PPP | Pineapple,1649.5,195
280,1998572,amoxicillin | dish soap,1648.8,86
281,1030265,SOUP-E | Antimony,1648.4,10
282,2285565,Starlight | Styles,1647.7,81
283,1751649,Syn! | D.Danger,1647.7,872
284,612997,SCB | Tito,1647.4,93
285,1525089,RLz | Krugbo,1647.3,104
286,2252991,Comoli,1646.2,93
287,1215486,CF | ChunkyKong,1646.0,22
288,44379,Lito,1645.7,129
289,1375338,TF0256,1645.3,69
290,2857352,ANTSAM | ScuffedHits,1644.5,77
291,29244,DK DAN,1644.2,71
292,265075,the wise cow | pango,1643.9,162
293,1335575,Aeris,1643.7,23
294,3606074,Syn! | Skyward Hero,1642.9,14
295,290952,Nico,1642.3,25
296,3917507,FF | Marshall,1641.5,75
297,2687729,ODA LVL | turkeyboy2012,1640.8,83
298,569558,Cartluke14,1640.6,10
299,2421372,Dandori | Artfishbot,1640.1,98
300,4451542,SBU | Grosssshi,1639.9,16
301,71401,UtopianRay,1639.8,154
302,3553647,HoP | C.Y.B.E.RX,1638.7,87
303,35695,GUMP2 | JankTrees!,1638.4,12
304,1751700,Kimboiyachi,1638.2,12
305,3436028,Rojo | Ajred,1637.5,117
306,1053442,Baren,1637.4,149
307,2241106,IceBeRG | Ripcord,1637.1,12
308,265251,Deedha (B),1636.8,85
309,1744009,EMW Esports 2 | Saiyan,1636.6,20
310,2892291,ȺͶŦI_UNKNOWN PlȺYER,1636.3,111
311,15921,DTN | Fatality,1636.2,10
312,2925431,CHP | JAMES,1636.1,84
313,1730510,BTS | Atomic,1635.9,13
314,1063610,Onin,1635.9,6
315,304973,OG | Zaphros,1635.7,172
316,1306487,Nik S,1635.1,24
317,1276193,A9,1635.0,20
318,431830,VashTS,1634.7,9
319,1309314,slaying mantis,1634.4,82
320,1288104,SBU | vanchy,1633.9,135
321,1955386,Simple,1633.5,7
322,1473392,Straw Hat | Hoo D. Nii,1633.4,30
323,61785,G5 | Jack777,1632.8,45
324,54741,Craftis,1632.3,8
325,1224902,Night Shift | WebbJP,1631.8,129
326,824294,ET | GODwithinAnthony,1631.5,104
327,39740,player 4,1631.4,115
328,2927745,YBG | HONOR | Yu Narukami,1631.2,14
329,256443,Cheese,1631.2,14
330,1372919,ANJELLOH,1630.7,12
331,157887,Arelius | Shadowhawke,1630.6,12
332,1228156,Pado,1630.6,496
333,1108399,cyanzura,1630.4,160
334,1492978,UNCG | BB | Paras,1630.2,11
335,128309,Joshathan Gamer,1630.2,15
336,2465656,loq | gwyn,1629.8,82
337,1510669,NotBae,1629.5,71
338,3619477,DinoNuggies,1628.4,128
339,331195,MikeMM,1628.3,103
340,1591717,FrBz | Keykard,1628.3,160
341,2406428,MeatBurger,1628.2,12
342,1758326,ebs | nazura,1628.1,93
343,1902502,SBU | MeKa,1627.7,179
344,2940883,Flyingwaffle,1627.4,75
345,12385,LGBTQ+,1627.4,99
346,1662508,husk,1627.1,75
347,1910295,Crooos,1626.8,15
348,2264971,GRNT | PokefanZ,1626.7,77
349,979064,CarBev | YajYaj,1625.8,86
350,3545741,Mr.Fahrenheit,1625.4,8
351,11136,Rawk,1624.6,102
352,230038,X,1624.6,76
353,1510743,MMG+ MBS | K1NG,1624.5,115
354,1721948,Wilsports | Queen,1624.1,222
355,3620456,ZeroTwoNone,1623.8,15
356,1995057,Willy,1623.4,9
357,480105,WW | Thass,1623.3,12
358,2553113,FalcoJoe,1623.2,115
359,734353,WG | MintyFlesh,1623.2,146
360,1031044,benn 9 9 9,1623.1,86
361,1530122,Humble Genius,1623.0,76
362,1769230,UMN / Weird | Treyara,1622.9,6
363,2195603,charszum,1622.6,281
364,135042,Maister,1621.4,11
365,4292184,Burrit0,1620.6,79
366,4910318,ttvBlitzNYC,1620.4,70
