rank,entrant_id,name,elo,sets_played
336,1662508,husk,1669.2,77
337,4398761,Darby,1668.3,79
338,1228156,Pado,1667.6,503
339,1029647,M,1667.5,81
340,571119,MSU | OmniElement,1667.2,73
341,577153,SKRA | PPA | Riflip,1667.0,35
342,1510743,MMG+ MBS | K1NG,1666.0,140
343,1375338,TF0256,1665.7,69
344,1998572,amoxicillin | dish soap,1664.8,40
345,864900,Newgate,1664.7,90
346,136738,Element,1664.2,73
347,2195603,charszum,1664.2,278
348,4313177,Cookies,1662.8,97
349,3362490,RW | Swirls,1661.9,82
350,3032025,CU | toge,1661.9,70
351,3436028,Rojo | Ajred,1661.7,127
352,979064,CarBev | YajYaj,1660.9,98
353,1816924,Nickxsk,1660.6,50
354,304973,OG | Zaphros,1659.3,180
355,1990442,EDLN | JWU | Tetrahedryn,1658.7,59
356,285302,TammEsports | Oats,1658.0,13
357,1989652,KUSIDREAM,1657.8,87
358,3553647,HoP | C.Y.B.E.RX,1657.7,92
359,4689970,Free KayFlock,1657.3,8
360,3585975,TBZ | ManNeeTee12,1657.3,66
361,342066,Joe-J,1657.1,58
362,1510669,NotBae,1657.1,70
363,1475247,Playmaker,1656.9,76
364,1322135,LRA | Jellyfish,1655.8,74
365,753258,Luminous!,1655.4,47
366,2025333,Playmaker,1655.2,116
367,1903494,GGG | SuperStarz,1654.4,104
368,824294,ET | GODwithinAnthony,1654.2,111
369,4961117,tahlia,1654.1,37
370,1726538,131 | Ashen One,1653.6,75
371,2140230,HpOfficejetPro,1652.5,62
372,3501232,HoP | Angle,1652.0,123
373,1863576,MBS | GrlyTeenQueen,1650.1,49
374,1031044,benn 9 9 9,1649.8,87
375,3801556,Providence,1649.7,79
376,5691,Draxsel / Gadget,1649.6,78
377,1157788,Glutamate,1649.4,114
378,1992273,TXC | Geodash,1649.2,105
379,1466524,EMW ESPORTS | EMW,1649.0,85
380,3451131,EMW ESPORTS | Baconator,1649.0,71
381,3446093,SBU | Bluespark7,1648.9,119
382,734353,WG | MintyFlesh,1648.9,138
383,1154793,DGS | spickles,1648.9,10
384,1249706,Mr.Fluffy,1648.5,69
385,1307014,SOUP-E | Moat,1648.4,175
386,1770562,MOB | Loftz,1647.5,1161
387,1399314,Robb (with 2 Bs),1647.2,61
388,917807,Ex0,1646.6,53
389,1141005,Light's friend | Clive,1646.4,124
390,4451542,SBU | Grosssshi,1645.2,16
391,1398715,Fizzystix,1645.1,185
392,1992892,CS,1643.1,87
393,3662593,$moneymons$,1643.1,44
394,33900,BxBonobo | Kamex,1643.0,93
395,71570,TR | SlingShot,1642.9,83
396,1698228,J.B.,1642.0,55
397,155168,Dyla,1641.9,70
398,760443,Palex,1641.7,57
399,290952,Nico,1641.7,74
400,3894154,SHU | Penguin,1641.2,116
401,1121293,Val,1640.2,164
402,1285194,trap queen,1639.5,238
403,569195,AGN | Mizu,1639.5,83
404,1218189,Heinous,1638.9,107
405,2700639,Desimus,1638.1,86
406,3206002,2desi | future,1637.7,106
407,71594,Arch,1637.6,39
408,1063610,Onin,1637.5,6
409,1522320,PaulGaming | Flora,1637.5,77
410,230038,X,1637.2,76
411,1773770,GFlowZ,1637.0,136
412,4008986,LYM? | Eleventy1,1636.9,18
413,654259,Whitest dudes you know,1636.5,77
414,2217983,Akbros | Brokoli,1635.8,70
415,251734,GAMEING INC. | THE SCHMIXTAPE,1635.5,7
416,256474,dbfc | yoBBi,1635.1,186
417,1210907,Drip,1635.0,63
418,1400293,BoY BleaK,1634.5,10
419,2650945,RISE|I am | The Devil,1634.2,137
420,2585393,Playmaker | Sonix,1633.8,72
421,3447761,C2F | Cou,1633.6,108
422,1247262,ƒяєє αgєηт | TM7_ZAP,1633.4,6
423,345023,GRNT | PC Ninja,1633.2,846
424,1401818,Jefff,1632.7,70
425,2925431,CHP | JAMES,1632.6,56
426,219727,EZ | Killer,1632.2,42
427,2167729,SCB | NinJenDo,1631.9,140
428,1261294,SYN | GabeOG,1631.7,71
429,2017089,Gurt Yobain,1631.6,68
430,2598045,Menbow/めんぼぉ,1630.9,15
431,230304,GTH | LRA | Steven8er,1630.8,77
432,70832,Oatmeal,1630.8,41
433,1788380,ZASE | Shigga_Sears,1630.6,130
434,4943959,Pasta!,1630.1,60
435,274501,FC Bloom | KOM,1629.7,14
436,12385,LGBTQ+ | Chess,1629.4,29
437,2192335,SnoopDan,1629.4,98
438,3620456,ZeroTwoNone,1629.2,15
439,2585781,NS | Wilsports | Hingle McCringleberry,1629.0,13
440,523826,HONOR | Yourbro,1629.0,7
441,3907470,Next | 716 | | CoreyIsHot,1628.8,8
442,1995706,Anagram,1628.7,78
443,2564413,Akbros | S&Xman,1628.1,143
444,2402885,BlueFlare,1627.8,95
445,2084157,PPA | Finraal,1627.8,59
446,341914,Triple A,1627.3,51
447,325777,MOB | COLD,1627.3,207
448,1468611,NMDusk,1627.2,197
449,228604,Na | Spiro,1625.9,7
450,599043,AFAS Comfy | Sovereign,1625.7,51
451,2427279,GTN | ShoKhaizo,1625.5,68
452,5013417,KevinFundiesGod,1625.3,23
453,692906,Juicebox,1625.2,21
454,56621,Youtube.com/ | Arhungry,1625.1,9
455,3619477,DinoNuggies,1625.0,125
