,Pikachu,Joker,Pyra/Mythra,Steve,Palutena,Mr. Game & Watch,Shulk,Zero Suit Samus,Peach,Lucina,Roy,Wolf,Snake,Greninja,Pokemon Trainer,Chrom,Mario,Young Link,Fox,Min Min,Inkling,Pichu,Sonic,Kazuya,Cloud,Diddy Kong,Sephiroth,Mega Man,R.O.B.,Falco,Yoshi,Olimar,Pac-Man,Wario,Link,Ness,Ike,Sheik,Marth,Sora,Samus,Hero,Terry,Captain Falcon,Mii Brawler,Toon Link,Rosalina & Luma,Lucario,Ken,Lucas,Mewtwo,Luigi,Byleth,Bowser,Pit,Ryu,Corrin,Meta Knight,Zelda,Banjo & Kazooie,Villager,Duck Hunt,Simon,Ridley,Wii Fit Trainer,Mii Gunner,Robin,Bayonetta,Isabelle,Jigglypuff,Piranha Plant,Kirby,Ice Climbers,King K. Rool,King Dedede,Incineroar,Mii Swordfighter,Bowser Jr.,Donkey Kong,Dr. Mario,Little Mac,Ganondorf
Kirby, -1.0, -1.0, -2.0, -2.0, -1.5, -1.5, -2.0, -1.0, -1.5, -2.0, -1.5, -1.0, -2.0, -1.5, -1.5, -1.5, -1.5, -1.5, -0.5, -1.0, -1.0,0, -1.5, -1.0, -1.5, -1.0, -1.5, -1.5, -1.5, -0.5, -1.5,0, -0.5, -1.0, -1.0, -1.5, -2.0,0, -1.5, -1.0, -1.5, -1.0,0,0, -0.5, -1.0, -1.0, -1.5,0, -0.5, -1.0, -1.5, -1.0, -1.5, -0.5, -0.5, -0.5, -1.0, -1.0, -1.0,0, -0.5, -0.5, -1.0,+1.5, -0.5,0,0,0,0,0,, -0.5,0, -1.0,0,0,0,0,0,+1.0,+0.5
Ice Climbers, -0.5, -1.5, -1.5, -2.0, -2.0, -1.5, -2.0, -1.5, -2.0, -2.0, -1.5, -1.0, -2.0, -1.5, -1.5, -1.5, -0.5, -1.5,0, -1.5, -1.0,0, -1.5, -0.5, -1.5, -1.0, -1.5, -1.5, -1.5, -0.5, -2.0, -1.0, -1.5,0, -1.5, -1.5, -1.5,+1.5, -1.0, -1.5, -1.5, -1.5, -0.5,0, -0.5, -1.5, -1.0, -1.0, -0.5, -1.0, -0.5,0, -1.5, -1.0, -0.5,0, -1.0, -0.5, -1.5, -1.0, -1.0, -1.0, -2.0,0, -1.0, -1.5, -1.0,0, -0.5,0, -0.5,+0.5,,0,+0.5,0,0,0,0,+1.0,+0.5,0
King K. Rool, -2.0, -2.0, -1.5, -2.0, -2.0, -2.0, -1.5, -2.0, -1.5, -1.5, -1.5, -2.0, -1.5, -1.5, -1.5, -1.5, -2.0, -1.5, -2.0, -1.5, -1.5, -1.0, -1.5, -2.0, -1.5, -1.0, -1.0, -1.5, -1.5, -2.0, -1.5, -1.5, -1.5, -2.0, -1.5, -2.0, -1.5, -0.5, -1.0, -1.0, -1.5, -1.5, -1.0, -1.5, -1.0, -1.5, -1.0, -0.5, -0.5, -1.5, -1.5, -0.5,0, -0.5, -1.0, -0.5,0, -0.5, -1.0, -0.5, -0.5, -0.5, -0.5,0, -0.5,0, -0.5, -0.5, -0.5,0,0,0,0,,0,+1.0,+0.5,0,0,0,+1.0,+1.0
King Dedede, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -1.5, -2.0, -1.5, -1.0, -1.5, -2.0, -1.5, -1.5, -2.0, -1.0, -1.5, -2.0, -2.0, -2.0, -1.5, -1.0, -1.5, -1.5, -1.5, -1.5, -1.5, -2.0, -2.0, -2.0, -1.5, -1.5, -2.0, -1.5, -1.5, -1.5, -1.0, -1.0, -0.5, -1.5, -1.5, -1.0, -1.0, -1.0, -1.0, -1.5, -0.5, -1.0, -1.0, -1.5, -1.0, -1.5, -1.5,0, -0.5, -0.5, -0.5,0, -1.5, -1.5, -1.5, -1.5, -1.5,0, -1.0, -0.5,0, -0.5, -1.0,+0.5,0,+1.0, -0.5,0,,+1.0,0,0,+1.0,+1.0,+1.5,+1.0
Incineroar, -2.0, -2.0, -1.5, -2.0, -2.0, -1.5, -1.5, -2.0, -2.0, -1.5, -1.0, -1.0, -1.5, -1.5, -1.5, -0.5, -1.5, -2.0, -1.0, -1.5, -1.5, -1.0, -1.5, -1.5, -1.0, -1.5, -1.5, -1.5, -2.0, -1.5, -1.0, -1.5, -1.5, -1.5, -1.5, -1.5, -1.0, -1.0, -1.0, -1.5, -2.0, -2.0, -1.0, -1.0, -1.0, -1.5, -1.0, -0.5, -1.0, -1.5, -1.5, -1.5, -1.5,0, -0.5, -1.0, -1.0, -1.0, -1.5, -1.0, -1.0, -1.0, -1.5, -1.0, -1.0, -1.0, -1.5, -0.5, -1.0, -0.5, -0.5,0,0, -1.0, -1.0,,0, -0.5,0,+0.5,+1.0,+0.5
Mii Swordfighter, -2.0, -2.0, -2.0, -1.5, -1.5, -1.5, -1.5, -2.0, -2.0, -2.0, -1.5, -2.0, -2.0, -1.5, -2.0, -1.5, -1.5, -1.5, -2.0, -1.5, -2.0, -2.0, -2.0, -1.0, -1.5, -1.5, -1.5, -1.0, -1.5, -2.0, -1.5, -0.5, -1.0, -1.5, -1.0, -1.0, -1.5, -1.5, -1.5, -1.0, -1.0, -1.0, -1.0, -1.5, -0.5, -1.0, -0.5, -1.0, -1.0, -1.0, -1.0, -1.0, -1.5, -1.0, -1.0, -1.0, -1.0, -1.0, -1.5, -1.0, -0.5, -0.5, -1.0, -0.5, -0.5, -0.5, -1.0, -0.5,0, -0.5, -0.5,0,0, -0.5,0,0,,0,0,0,0,+0.5
Bowser Jr., -2.0, -2.0, -2.0, -2.0, -2.0, -1.5, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -1.5, -2.0, -1.5, -1.5, -2.0, -1.5, -1.5, -1.5, -1.5, -1.5, -2.0, -2.0, -1.5, -1.5, -2.0, -2.0, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.0, -1.5, -1.0, -0.5,0, -1.5, -1.5, -1.0, -0.5, -0.5, -1.0, -1.0, -1.0, -0.5, -1.0, -1.5, -1.5, -1.0, -1.0, -0.5, -1.0, -1.0, -1.0, -0.5, -0.5,0,0,0,0,0,0,+0.5,0,,+0.5,+0.5,+1.0,+1.0
Donkey Kong, -2.0, -2.0, -1.5, -2.0, -2.0, -2.0, -1.5, -2.0, -1.5, -1.5, -1.5, -2.0, -2.0, -2.0, -2.0, -1.5, -1.5, -2.0, -2.0, -1.5, -2.0, -1.5, -1.5, -2.0, -1.0, -1.5, -1.5, -2.0, -2.0, -2.0, -1.5, -2.0, -2.0, -1.5, -1.5, -1.5, -0.5, -1.5,0, -1.5, -2.0,0, -1.0, -1.0, -0.5, -2.0, -1.5,0, -1.0, -1.5,0, -1.5, -2.0, -0.5,0, -1.5, -0.5, -1.0, -1.0, -1.5, -1.5, -2.0, -1.0,0, -1.5, -1.0, -1.5, -0.5,0,+0.5, -1.0,0,0,0, -1.0,0,0, -0.5,,+1.0,+2.0,+1.0
Dr. Mario, -1.5, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -1.5, -1.5, -1.5, -2.0, -2.0, -0.5, -1.5, -1.0, -2.0, -1.5, -0.5, -2.0, -2.0, -2.0, -1.5, -2.0, -1.5, -1.5, -1.5, -1.5, -1.0, -1.0, -1.5, -1.5, -1.5, -2.0, -1.0, -2.0, -1.0, -1.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.0,0, -1.0, -1.5, -1.0, -1.5, -2.0, -1.5, -1.0, -1.5, -1.0, -1.0, -1.5, -1.0, -0.5, -1.0, -1.5, -1.5, -0.5, -0.5, -1.0, -0.5,0, -0.5, -0.5,0, -1.0,0, -1.0, -0.5,0, -0.5, -1.0,,0, -0.5
Little Mac, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -1.5, -2.0, -1.0, -2.0, -1.5, -1.0, -1.5, -1.5, -2.0, -2.0, -1.5, -1.0, -2.0, -1.5, -2.0, -1.5, -2.0, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.0, -1.5, -1.5, -2.0, -1.5, -1.0, -0.5, -1.0, -1.0, -1.5, -1.0, -1.0, -0.5, -1.0, -1.5, -1.0,0, -1.0, -2.0,0,,0
Ganondorf, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -1.5, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -1.5, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -1.5, -2.0, -2.0, -1.0, -1.0, -2.0, -1.5, -2.0, -2.0, -1.0, -2.0, -1.0, -2.0, -1.5,0, -1.0, -2.0, -1.5, -1.5, -1.5, -0.5, -1.5, -0.5, -1.0, -1.5, -1.5, -2.0, -2.0, -1.5, -2.0, -1.5, -1.5, -1.5, -1.5, -1.0, -1.5, -0.5, -1.0, -0.5,0, -1.0, -1.0, -0.5, -0.5, -1.0, -1.0,+0.5,0,
