,Pikachu,Joker,Pyra/Mythra,Steve,Palutena,Mr. Game & Watch,Shulk,Zero Suit Samus,Peach,Lucina,Roy,Wolf,Snake,Greninja,Pokemon Trainer,Chrom,Mario,Young Link,Fox,Min Min,Inkling,Pichu,Sonic,Kazuya,Cloud,Diddy Kong,Sephiroth,Mega Man,R.O.B.,Falco,Yoshi,Olimar,Pac-Man,Wario,Link,Ness,Ike,Sheik,Marth,Sora,Samus,Hero,Terry,Captain Falcon,Mii Brawler,Toon Link,Rosalina & Luma,Lucario,Ken,Lucas,Mewtwo,Luigi,Byleth,Bowser,Pit,Ryu,Corrin,Meta Knight,Zelda,Banjo & Kazooie,Villager,Duck Hunt,Simon,Ridley,Wii Fit Trainer,Mii Gunner,Robin,Bayonetta,Isabelle,Jigglypuff,Piranha Plant,Kirby,Ice Climbers,King K. Rool,King Dedede,Incineroar,Mii Swordfighter,Bowser Jr.,Donkey Kong,Dr. Mario,Little Mac,Ganondorf
Sonic, -1.0,0,0,0, -0.5,0,0,0, -0.5,0, -1.0, -0.5, -0.5,0,0, -0.5,0,0, -1.0,+0.5, -0.5, -0.5,,+1.0,0, -0.5,+0.5, -0.5, -0.5,0,0,+0.5,0,+0.5,0,0,0,+0.5,+0.5,+1.0,0,+0.5,+0.5,0,0,+0.5,+0.5,0,+0.5,+0.5,0,0,+1.5,+0.5,+1.0,+1.0,+1.0,+0.5,+1.5,0,+1.0,+0.5,+1.0,+1.0,+0.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.0,+1.5,+1.5,+1.5,+1.5,+1.5,+2.0,+1.5,+1.5,+2.0,+2.0,+2.0
Kazuya, -1.0,0,0, -1.0,0, -1.0,0,0, -0.5, -0.5,0,0,0,0,0,0,0,0,+1.0, -1.5,0,+0.5, -1.0,, -0.5, -0.5, -0.5,0,0,+0.5, -0.5,0,0,+1.0,0,0,0,0,0,+0.5,0,+0.5,+0.5,+1.0,+0.5,0,+1.5,+1.5,+1.0,+1.0,+1.0,0,+0.5,+1.5,+1.0,+1.0,+1.5,+0.5,+0.5,+1.5,+2.0,+1.0,+0.5,+1.0,+0.5,+1.0,+0.5,+1.5,+1.5,+1.0,+1.5,+1.0,+0.5,+2.0,+1.5,+1.5,+1.0,+2.0,+2.0,+2.0,+2.0,+2.0
Cloud, -1.0, -1.0, -0.5,0,0,+0.5,0,0,0, -0.5,0, -0.5,0,0,0,0,+0.5,0,0, -1.0, -1.0, -1.0,0,+0.5,,0,0,0,0,0,+0.5,0,+0.5,+1.0,0,+0.5,0, -0.5,0,+0.5,+0.5,0,0,0,+0.5,+1.0,+1.0,+0.5,+0.5,+0.5,0,+1.0,+0.5,+1.0,0,+1.0,+0.5,+0.5,+1.0,0,+1.0,+1.0,0,+0.5,+1.5,+0.5,+1.5,+0.5,+1.0,+2.0,+1.5,+1.5,+1.5,+1.5,+1.5,+1.0,+1.5,+2.0,+1.0,+2.0,+2.0,+1.5
Diddy Kong, -0.5,0,+0.5, -1.0,+0.5,0,0,+0.5, -0.5,0,0, -0.5, -1.0,+0.5,0,+0.5, -1.0, -0.5, -0.5,0,0,0,+0.5,+0.5,0,,+1.0, -1.0,+0.5,0,+0.5, -1.0, -1.0, -0.5,0,0,+0.5,0,+1.0,+1.0,+0.5,+0.5,0,+0.5,0,0,0,0,+0.5,+0.5,+1.0,0,+1.5,0,+0.5,+0.5,+1.5,+1.0,+1.0,0,+0.5,0,0,+0.5,+1.0,0,+1.5,+1.5,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+2.0,+2.0
Sephiroth, -1.0, -0.5, -1.0,0,0,+0.5,0, -1.5,+0.5,+0.5, -0.5, -0.5, -0.5, -1.0,0,0,0,0, -1.0, -1.0, -0.5, -0.5, -0.5,+0.5,0, -1.0,,0,0,0,+1.5,0,0,+1.0,0,+1.0,0, -1.5,+0.5,+1.0,0,+0.5,0,0,0,+0.5,+1.5,+0.5,+0.5,+0.5,+0.5,+1.0,0,0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+0.5,+0.5,+1.0,+1.0,+0.5,+0.5,+1.0,+1.5,+1.5,+1.5,+1.5,+1.5,+1.0,+1.5,+1.5,+1.5,+1.5,+1.5,+2.0,+2.0,+2.0
Mega Man, -0.5,+0.5, -0.5, -1.0, -1.0, -0.5,0, -0.5, -0.5,0, -0.5, -1.0,+0.5, -0.5,+0.5,0, -1.0,+0.5, -1.0,0,0,0,+0.5,0,0,+1.0,0,,+0.5,0,0, -0.5,0, -0.5,0,0,+1.0,0,+0.5,0,+0.5,0,+0.5,+0.5,+1.0,+0.5,0, -1.0,0,0,0,+1.5,+1.0,+1.0,+0.5,+0.5,+1.0,+0.5,+1.0,+1.0,+1.0,+1.0,+1.0,+1.5,+0.5,+0.5,+1.0,+1.0,+1.5,+1.5,+1.0,+1.5,+1.5,+1.5,+2.0,+1.5,+1.0,+2.0,+2.0,+1.5,+2.0,+2.0
R.O.B., -1.5,0,0,0, -1.5, -1.5,+0.5, -1.5, -0.5, -0.5, -0.5,0, -0.5,0,+0.5, -0.5, -1.0, -1.0, -0.5,+0.5,+0.5,0,+0.5,0,0, -0.5,0, -0.5,, -0.5,0,+1.0,+0.5,0,0,0,+1.0, -0.5,0,+0.5,+1.0,+0.5,+0.5,+0.5,0,+0.5,0,+0.5,+0.5,+0.5,0,+1.0,+1.0,+1.0,+0.5,+0.5,+0.5,0,0,+1.0,0,+1.0,+1.5,+2.0,+0.5,+1.5,+0.5, -0.5,0,+1.0,+1.5,+1.5,+1.5,+1.5,+2.0,+2.0,+1.5,+2.0,+2.0,+1.5,+2.0,+2.0
Falco, -1.0, -1.0,0,0,0, -1.0, -0.5, -0.5, -0.5, -0.5,0, -0.5, -0.5, -0.5, -0.5, -0.5,0,0,0,0,0, -1.0,0, -0.5,0,0,0,0,+0.5,,0,0,+1.0, -0.5,0,0,0,0,0, -0.5,+1.0,+0.5,0,0,0,+1.0,0,0,0,+0.5,+1.5, -0.5,+0.5,+1.0,+0.5,0,+0.5,+0.5,+1.0,+1.0,+1.5,+1.5,+2.0,+1.0,+1.5,+2.0,+1.5,+0.5,+1.5,+0.5,+2.0,+0.5,+0.5,+2.0,+2.0,+1.5,+2.0,+1.5,+2.0,+1.5,+2.0,+2.0
Yoshi, -0.5, -1.0, -1.0,0, -1.0,0, -0.5, -0.5, -0.5, -1.0, -0.5,0, -1.0,0, -0.5, -0.5,0,0,+0.5,+0.5,+1.0,+0.5,0,+0.5, -0.5, -0.5, -1.5,0,0,0,,0,0,0,0,+0.5, -1.0,+1.0, -0.5,0,0,0,0,+1.0,+0.5,+0.5,+0.5,0,+0.5,+0.5,+1.0,0,0,0,+1.0,0,0,+1.0,+1.0,+1.0,+0.5,+1.0,+1.5,+0.5,+1.0,+1.0,+1.0,+1.5,+1.5,+2.0,+1.0,+1.5,+2.0,+1.5,+1.5,+1.0,+1.5,+1.5,+1.5,+1.5,+2.0,+2.0
Olimar,+0.5, -0.5, -1.0, -0.5, -0.5,0, -1.5,+0.5, -0.5,0,0, -0.5,0,0,+0.5, -0.5, -0.5,0, -0.5, -0.5,+0.5,+0.5, -0.5,0,0,+1.0,0,+0.5, -1.0,0,0,, -0.5,+0.5, -0.5,0,0,+1.5,+1.0, -0.5,+2.0, -0.5,0,+0.5,+0.5,0,0,0,0,+0.5,+0.5,+0.5,+1.0,0,+0.5,+0.5,0,+0.5, -0.5,+1.0,+0.5,+0.5, -0.5,+1.0,+1.0,+1.0,+1.5,+1.5,+1.0,+1.5,0,0,+1.0,+1.5,+1.5,+1.5,+0.5,+1.5,+2.0,+1.0,+2.0,+2.0
